Vulnerability_ID        Package                                                     Severity          Fix                                               CVE_Refs        Vulnerability_URL                                                     
CVE-2017-1000367        sudo-1.8.9p5-1ubuntu1.3                                     High              1.8.9p5-1ubuntu1.4                                                http://people.ubuntu.com/~ubuntu-security/cve/CVE-2017-1000367        
CVE-2018-1000001        libc-bin-2.19-0ubuntu6.9                                    High              2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        
CVE-2018-1000001        libc6-2.19-0ubuntu6.9                                       High              2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        
CVE-2018-1000001        multiarch-support-2.19-0ubuntu6.9                           High              2.19-0ubuntu6.14                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        
CVE-2019-3462           apt-1.0.1ubuntu2.17                                         High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3462           apt-transport-https-1.0.1ubuntu2.17                         High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3462           apt-utils-1.0.1ubuntu2.17                                   High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3462           libapt-inst1.5-1.0.1ubuntu2.17                              High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3462           libapt-pkg4.12-1.0.1ubuntu2.17                              High              1.0.1ubuntu2.19                                                   http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           
CVE-2019-3813           libspice-server1-0.12.4-0nocelt2ubuntu1.5                   High              0.12.4-0nocelt2ubuntu1.8                                          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3813           
CVE-2019-6116           ghostscript-9.10~dfsg-0ubuntu10.10                          High              9.26~dfsg+0-0ubuntu0.14.04.4                                      http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-6116           
CVE-2019-6116           libgs9-9.10~dfsg-0ubuntu10.10                               High              9.26~dfsg+0-0ubuntu0.14.04.4                                      http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-6116           
CVE-2019-6116           libgs9-common-9.10~dfsg-0ubuntu10.10                        High              9.26~dfsg+0-0ubuntu0.14.04.4                                      http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-6116           
CVE-2012-0039           libglib2.0-0-2.40.2-0ubuntu1                                Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-0039           
CVE-2012-0039           libglib2.0-data-2.40.2-0ubuntu1                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-0039           
CVE-2012-1093           x11-common-1:7.7+1ubuntu8.1                                 Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-1093           
CVE-2012-1093           xorg-1:7.7+1ubuntu8.1                                       Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-1093           
CVE-2012-1093           xserver-xorg-1:7.7+1ubuntu8.1                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-1093           
CVE-2012-1093           xserver-xorg-input-all-1:7.7+1ubuntu8.1                     Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-1093           
CVE-2012-1093           xserver-xorg-video-all-1:7.7+1ubuntu8.1                     Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2012-1093           
CVE-2013-0157           libblkid1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           libmount1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           libuuid1-2.20.1-5.1ubuntu20.9                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           mount-2.20.1-5.1ubuntu20.9                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-0157           util-linux-2.20.1-5.1ubuntu20.9                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-0157           
CVE-2013-4235           login-1:4.1.5.1-1ubuntu9.2                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235           
CVE-2013-4235           passwd-1:4.1.5.1-1ubuntu9.2                                 Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2013-4235           
CVE-2014-0459           liblcms2-2-2.5-0ubuntu4.1                                   Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-0459           
CVE-2014-2893           libllvm3.4-1:3.4-1ubuntu3                                   Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-2893           
CVE-2014-8355           libgraphicsmagick++3-1.3.18-1ubuntu3                        Low               1.3.18-1ubuntu3.1                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-8355           
CVE-2014-8355           libgraphicsmagick3-1.3.18-1ubuntu3                          Low               1.3.18-1ubuntu3.1                                                 http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-8355           
CVE-2014-8625           dpkg-1.17.5ubuntu5.7                                        Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-8625           
CVE-2014-9092           libjpeg-turbo8-1.3.0-0ubuntu2                               Low               1.3.0-0ubuntu2.1                                                  http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9092           
CVE-2014-9114           libblkid1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9114           libmount1-2.20.1-5.1ubuntu20.9                              Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9114           libuuid1-2.20.1-5.1ubuntu20.9                               Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9114           mount-2.20.1-5.1ubuntu20.9                                  Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9114           util-linux-2.20.1-5.1ubuntu20.9                             Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9114           
CVE-2014-9474           libmpfr4-3.1.2-1                                            Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9474           
CVE-2014-9761           libc-bin-2.19-0ubuntu6.9                                    Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9761           
CVE-2014-9761           libc6-2.19-0ubuntu6.9                                       Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9761           
CVE-2014-9761           multiarch-support-2.19-0ubuntu6.9                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2014-9761           
CVE-2015-5180           libc-bin-2.19-0ubuntu6.9                                    Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180           
CVE-2015-5180           libc6-2.19-0ubuntu6.9                                       Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180           
CVE-2015-5180           multiarch-support-2.19-0ubuntu6.9                           Low               None                                                              http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5180           
CVE-2015-5203           libjasper1-1.900.1-14ubuntu3.4                              Low               1.900.1-14ubuntu3.5                                               http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5203           
CVE-2015-5221           libjasper1-1.900.1-14ubuntu3.4                              Low               1.900.1-14ubuntu3.5                                               http://people.ubuntu.com/~ubuntu-security/cve/CVE-2015-5221           
