Vulnerability_ID   Package   Severity
CVE-2017-5461   nss-util-3.21.0-2.el6   Critical
CVE-2013-0292   dbus-glib-0.86-6.el6   High
CVE-2016-2177   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-2178   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-2179   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-2180   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-2181   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-2182   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-6302   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-6304   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-6306   openssl-1.0.1e-48.el6_8.1   High
CVE-2016-2776   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2016-4470   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-5829   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-2848   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2016-5195   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-8864   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2016-7545   policycoreutils-2.0.83-29.el6   High
CVE-2016-1583   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-2143   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-4998   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-6828   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-7117   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-9147   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2017-6074   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-7910   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-2636   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-3136   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2017-3137   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2017-3139   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2015-5203   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2015-5221   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-10248   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-10249   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-10251   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-1577   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-1867   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-2089   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-2116   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-8654   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-8690   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-8691   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-8692   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-8693   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-8883   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-8884   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-8885   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9262   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9387   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9388   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9389   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9390   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9391   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9392   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9393   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9394   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9560   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9583   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9591   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2016-9600   jasper-libs-1.900.1-16.el6_6.3   High
CVE-2017-7494   samba-winbind-clients-3.6.23-36.el6_8   High
CVE-2017-7502   nss-tools-3.21.0-8.el6   High
CVE-2017-1000366   glibc-headers-2.12-1.192.el6   High
CVE-2017-1000364   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-1000379   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-3142   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2017-3143   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2017-7895   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-1000117   perl-Git-1.7.1-4.el6_7.1   High
CVE-2017-1000251   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-1000253   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-7805   nss-tools-3.21.0-8.el6   High
CVE-2017-1000111   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-1000112   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-14106   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-3145   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2017-11176   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-7542   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-9074   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-1000410   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-13166   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-18017   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-7645   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-8824   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-8897   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-3639   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-1124   procps-3.2.8-36.el6   High
CVE-2018-1126   procps-3.2.8-36.el6   High
CVE-2012-6701   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2015-8830   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2016-8650   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-12190   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-15121   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-18203   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-2671   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-6001   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-7308   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-7616   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-7889   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-8890   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-9075   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-9076   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-9077   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-1130   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-5803   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-10675   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-10872   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-3665   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-12020   gnupg2-2.0.14-8.el6   High
CVE-2018-10897   yum-plugin-ovl-1.1.30-37.el6   High
CVE-2017-0861   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2017-15265   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-1000004   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-10901   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-3620   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-3646   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-3693   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-5390   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-7566   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-5740   bind-utils-9.8.2-0.47.rc1.el6   High
CVE-2018-14634   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-5391   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-10902   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2019-6133   polkit-0.96-11.el6   High
CVE-2018-13405   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-12126   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-12127   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-12130   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2019-11091   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2019-9636   python-libs-2.6.6-66.el6_8   High
CVE-2019-11477   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2019-11478   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2019-11479   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2019-3896   kernel-headers-2.6.32-642.4.2.el6   High
CVE-2018-5743   bind-utils-9.8.2-0.47.rc1.el6   High
