Vulnerability_ID   Package   Severity
CVE-2015-7181   nss-util-3.19.1-3.el7_1   Critical
CVE-2015-7182   nss-util-3.19.1-3.el7_1   Critical
CVE-2015-7183   nss-util-3.19.1-3.el7_1   Critical
CVE-2015-5229   glibc-headers-2.17-78.el7   Critical
CVE-2015-7547   glibc-headers-2.17-78.el7   Critical
CVE-2016-1950   nss-util-3.19.1-3.el7_1   Critical
CVE-2017-5461   nss-util-3.19.1-3.el7_1   Critical
CVE-2014-9585   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-0275   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-1333   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-3212   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-4700   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-5364   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-5366   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-6908   openldap-2.4.39-6.el7   High
CVE-2010-5313   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2013-7421   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2014-3647   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2014-7842   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2014-8171   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2014-9419   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2014-9644   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-0239   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-2925   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-3288   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-3339   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-4170   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-5283   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-6526   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-7553   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-7613   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-7837   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-8215   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2016-0774   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-5277   glibc-headers-2.17-78.el7   High
CVE-2015-5307   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-8104   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2016-0728   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-5157   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-7872   kernel-headers-3.10.0-229.11.1.el7   High
CVE-2015-3197   openssl-libs-1.0.1e-42.el7.9   High
CVE-2016-0702   openssl-libs-1.0.1e-42.el7.9   High
