Vulnerability_ID   Package   Severity
CVE-2017-3145   bind-license-9.9.4-51.el7_4.1   High
CVE-2018-1124   procps-ng-3.3.10-16.el7   High
CVE-2018-1126   procps-ng-3.3.10-16.el7   High
CVE-2018-11235   perl-Git-1.8.3.1-12.el7_4   High
CVE-2018-12020   gnupg2-2.0.22-4.el7   High
CVE-2018-10897   yum-utils-1.1.31-42.el7   High
CVE-2018-5740   bind-license-9.9.4-51.el7_4.1   High
CVE-2018-17456   perl-Git-1.8.3.1-12.el7_4   High
CVE-2018-15688   systemd-libs-219-42.el7_4.4   High
CVE-2018-16864   systemd-libs-219-42.el7_4.4   High
CVE-2018-16865   systemd-libs-219-42.el7_4.4   High
CVE-2018-18311   perl-macros-5.16.3-292.el7   High
CVE-2019-6454   systemd-libs-219-42.el7_4.4   High
CVE-2019-3855   libssh2-1.4.3-10.el7_2.1   High
CVE-2019-3856   libssh2-1.4.3-10.el7_2.1   High
CVE-2019-3857   libssh2-1.4.3-10.el7_2.1   High
CVE-2019-3863   libssh2-1.4.3-10.el7_2.1   High
CVE-2019-9636   python-libs-2.7.5-58.el7   High
CVE-2018-5743   bind-license-9.9.4-51.el7_4.1   High
CVE-2019-10160   python-libs-2.7.5-58.el7   High
CVE-2019-12735   vim-minimal-7.4.160-2.el7   High
CVE-2019-1010238   pango-1.42.4-2.el7_6   High
CVE-2019-14744   qt-settings-19-23.8.el7.centos   High
CVE-2017-11671   libstdc++-4.8.5-16.el7_4.1   Low
CVE-2017-15906   openssh-clients-7.4p1-13.el7_4   Low
CVE-2018-10372   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-10373   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-10534   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-10535   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-13033   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-7208   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-7568   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-7569   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-7642   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-7643   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-8945   binutils-2.25.1-32.base.el7_4.1   Low
CVE-2018-5729   krb5-libs-1.15.1-8.el7   Low
CVE-2018-5730   krb5-libs-1.15.1-8.el7   Low
CVE-2018-1113   setup-2.8.71-7.el7   Low
CVE-2019-3815   systemd-libs-219-42.el7_4.4   Low
CVE-2018-14618   libcurl-7.29.0-42.el7_4.1   Low
CVE-2018-6790   qt-settings-19-23.8.el7.centos   Low
CVE-2018-15473   openssh-clients-7.4p1-13.el7_4   Low
CVE-2018-16842   libcurl-7.29.0-42.el7_4.1   Low
CVE-2018-16062   elfutils-libs-0.168-8.el7   Low
CVE-2018-16402   elfutils-libs-0.168-8.el7   Low
CVE-2018-16403   elfutils-libs-0.168-8.el7   Low
CVE-2018-18310   elfutils-libs-0.168-8.el7   Low
CVE-2018-18520   elfutils-libs-0.168-8.el7   Low
CVE-2018-18521   elfutils-libs-0.168-8.el7   Low
CVE-2019-7149   elfutils-libs-0.168-8.el7   Low
CVE-2019-7150   elfutils-libs-0.168-8.el7   Low
CVE-2019-7664   elfutils-libs-0.168-8.el7   Low
CVE-2019-7665   elfutils-libs-0.168-8.el7   Low
CVE-2018-1049   systemd-libs-219-42.el7_4.4   Medium
CVE-2017-11368   krb5-libs-1.15.1-8.el7   Medium
CVE-2017-7562   krb5-libs-1.15.1-8.el7   Medium
CVE-2014-9402   glibc-common-2.17-196.el7_4.2   Medium
CVE-2015-5180   glibc-common-2.17-196.el7_4.2   Medium
CVE-2017-12132   glibc-common-2.17-196.el7_4.2   Medium
CVE-2017-15670   glibc-common-2.17-196.el7_4.2   Medium
CVE-2017-15804   glibc-common-2.17-196.el7_4.2   Medium
CVE-2018-1000001   glibc-common-2.17-196.el7_4.2   Medium
CVE-2017-3736   openssl-libs-1.0.2k-8.el7   Medium
CVE-2017-3737   openssl-libs-1.0.2k-8.el7   Medium
CVE-2017-3738   openssl-libs-1.0.2k-8.el7   Medium
CVE-2016-2183   python-libs-2.7.5-58.el7   Medium
CVE-2018-1060   python-libs-2.7.5-58.el7   Medium
CVE-2018-1061   python-libs-2.7.5-58.el7   Medium
CVE-2017-16997   glibc-common-2.17-196.el7_4.2   Medium
CVE-2018-11236   glibc-common-2.17-196.el7_4.2   Medium
CVE-2018-11237   glibc-common-2.17-196.el7_4.2   Medium
CVE-2018-6485   glibc-common-2.17-196.el7_4.2   Medium
CVE-2015-9381   gobject-introspection-1.50.0-1.el7   Medium
CVE-2015-9382   gobject-introspection-1.50.0-1.el7   Medium
CVE-2017-18267   gobject-introspection-1.50.0-1.el7   Medium
CVE-2018-10733   gobject-introspection-1.50.0-1.el7   Medium
CVE-2018-10767   gobject-introspection-1.50.0-1.el7   Medium
CVE-2018-10768   gobject-introspection-1.50.0-1.el7   Medium
CVE-2018-12910   gobject-introspection-1.50.0-1.el7   Medium
CVE-2018-13988   gobject-introspection-1.50.0-1.el7   Medium
CVE-2018-1000007   nss-pem-1.0.3-4.el7   Medium
CVE-2018-1000120   nss-pem-1.0.3-4.el7   Medium
CVE-2018-1000121   nss-pem-1.0.3-4.el7   Medium
CVE-2018-1000122   nss-pem-1.0.3-4.el7   Medium
CVE-2018-1000301   nss-pem-1.0.3-4.el7   Medium
CVE-2017-3735   openssl-libs-1.0.2k-8.el7   Medium
CVE-2018-0495   nss-util-3.36.0-1.1.el7_6   Medium
CVE-2018-0732   openssl-libs-1.0.2k-8.el7   Medium
CVE-2018-0737   openssl-libs-1.0.2k-8.el7   Medium
CVE-2018-0739   openssl-libs-1.0.2k-8.el7   Medium
CVE-2018-5742   bind-license-9.9.4-51.el7_4.1   Medium
CVE-2018-5407   openssl-libs-1.0.2k-8.el7   Medium
CVE-2019-2745   java-1.8.0-openjdk-headless-1.8.0.212.b04-0.el7_6   Medium
CVE-2019-2762   java-1.8.0-openjdk-headless-1.8.0.212.b04-0.el7_6   Medium
CVE-2019-2769   java-1.8.0-openjdk-headless-1.8.0.212.b04-0.el7_6   Medium
CVE-2019-2786   java-1.8.0-openjdk-headless-1.8.0.212.b04-0.el7_6   Medium
CVE-2019-2816   java-1.8.0-openjdk-headless-1.8.0.212.b04-0.el7_6   Medium
CVE-2019-2842   java-1.8.0-openjdk-headless-1.8.0.212.b04-0.el7_6   Medium
CVE-2019-3862   libssh2-1.4.3-10.el7_2.1   Medium
CVE-2018-14647   python-libs-2.7.5-58.el7   Medium
CVE-2019-5010   python-libs-2.7.5-58.el7   Medium
CVE-2019-9740   python-libs-2.7.5-58.el7   Medium
CVE-2019-9947   python-libs-2.7.5-58.el7   Medium
CVE-2019-9948   python-libs-2.7.5-58.el7   Medium
CVE-2016-3616   libjpeg-turbo-1.2.90-6.el7   Medium
CVE-2018-11212   libjpeg-turbo-1.2.90-6.el7   Medium
CVE-2018-11213   libjpeg-turbo-1.2.90-6.el7   Medium
CVE-2018-11214   libjpeg-turbo-1.2.90-6.el7   Medium
CVE-2018-11813   libjpeg-turbo-1.2.90-6.el7   Medium
CVE-2018-14498   libjpeg-turbo-1.2.90-6.el7   Medium
CVE-2016-3186   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-10779   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-10963   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-12900   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-17100   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-17101   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-18557   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-18661   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-7456   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-8905   libtiff-4.0.3-27.el7_3   Medium
CVE-2018-5741   bind-license-9.9.4-51.el7_4.1   Medium
CVE-2018-1000876   binutils-2.25.1-32.base.el7_4.1   Medium
CVE-2018-12641   binutils-2.25.1-32.base.el7_4.1   Medium
CVE-2018-12697   binutils-2.25.1-32.base.el7_4.1   Medium
CVE-2018-14598   libX11-common-1.6.5-2.el7   Medium
CVE-2018-14599   libX11-common-1.6.5-2.el7   Medium
CVE-2018-14600   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15853   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15854   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15855   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15856   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15857   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15859   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15861   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15862   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15863   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15864   libX11-common-1.6.5-2.el7   Medium
CVE-2018-15686   systemd-libs-219-42.el7_4.4   Medium
CVE-2018-16866   systemd-libs-219-42.el7_4.4   Medium
CVE-2018-16888   systemd-libs-219-42.el7_4.4   Medium
CVE-2016-10739   glibc-common-2.17-196.el7_4.2   Medium
CVE-2019-3858   libssh2-1.4.3-10.el7_2.1   Medium
CVE-2019-3861   libssh2-1.4.3-10.el7_2.1   Medium
CVE-2018-1122   procps-ng-3.3.10-16.el7   Medium
CVE-2018-12404   nss-util-3.36.0-1.1.el7_6   Medium
CVE-2018-0734   openssl-libs-1.0.2k-8.el7   Medium
CVE-2019-1559   openssl-libs-1.0.2k-8.el7   Medium
