Vulnerability_ID   Package   Severity
CVE-2016-5195   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2016-7039   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2016-8666   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2016-3672   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2016-7913   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2016-8633   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-1000252   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-1000407   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-1000410   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-12154   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-12190   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-13166   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-13305   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-14140   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-15116   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-15121   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-15126   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-15127   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-15129   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-15265   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-15274   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-17448   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-17449   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-17558   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-18017   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-18203   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-18270   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-7294   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-8824   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-9725   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-1000004   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-5750   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-6927   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-16939   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-1000199   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-1068   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-1087   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-1091   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-8897   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-3639   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-1124   procps-ng-3.3.10-16.el7   High
CVE-2018-1126   procps-ng-3.3.10-16.el7   High
CVE-2018-11235   perl-Git-1.8.3.1-12.el7_4   High
CVE-2017-11600   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-12020   gnupg2-2.0.22-4.el7   High
CVE-2018-10897   yum-plugin-fastestmirror-1.1.31-42.el7   High
CVE-2017-13215   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-10675   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-3620   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-3646   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-3693   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-5390   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-7566   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-5740   bind-license-9.9.4-51.el7_4.2   High
CVE-2018-14634   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2015-8830   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2016-4913   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-0861   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-10661   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-17805   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-18208   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-18232   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-18344   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2017-18360   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-1000026   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-10322   kernel-headers-3.10.0-693.21.1.el7   High
CVE-2018-10878   kernel-headers-3.10.0-693.21.1.el7   High
