Vulnerability_ID   Package   Severity
CVE-2017-5461   nss-util-3.21.0-2.2.el7_2   Critical
CVE-2016-1762   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-1833   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-1834   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-1835   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-1836   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-1837   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-1838   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-1839   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-1840   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-3627   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-3705   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-4447   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-4448   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-4449   libxml2-2.9.1-6.el7_2.2   High
CVE-2016-2177   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-2178   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-2179   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-2180   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-2181   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-2182   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-6302   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-6304   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-6306   openssl-libs-1.0.1e-51.el7_2.5   High
CVE-2016-2776   bind-license-9.9.4-29.el7_2.3   High
CVE-2016-8864   bind-license-9.9.4-29.el7_2.3   High
CVE-2016-9131   bind-license-9.9.4-29.el7_2.3   High
CVE-2016-9147   bind-license-9.9.4-29.el7_2.3   High
CVE-2016-9444   bind-license-9.9.4-29.el7_2.3   High
CVE-2017-3136   bind-license-9.9.4-29.el7_2.3   High
CVE-2017-3137   bind-license-9.9.4-29.el7_2.3   High
CVE-2017-7502   nss-tools-3.21.0-9.el7_2   High
CVE-2017-1000366   glibc-common-2.17-106.el7_2.6   High
CVE-2017-3142   bind-license-9.9.4-29.el7_2.3   High
CVE-2017-3143   bind-license-9.9.4-29.el7_2.3   High
CVE-2017-7805   nss-tools-3.21.0-9.el7_2   High
CVE-2017-3145   bind-license-9.9.4-29.el7_2.3   High
CVE-2018-1124   procps-ng-3.3.10-5.el7_2   High
CVE-2018-1126   procps-ng-3.3.10-5.el7_2   High
CVE-2018-12020   gnupg2-2.0.22-3.el7   High
CVE-2018-10897   yum-utils-1.1.31-34.el7   High
CVE-2018-5740   bind-license-9.9.4-29.el7_2.3   High
CVE-2018-15688   systemd-libs-219-19.el7_2.9   High
CVE-2018-16864   systemd-libs-219-19.el7_2.9   High
CVE-2018-16865   systemd-libs-219-19.el7_2.9   High
CVE-2019-6454   systemd-libs-219-19.el7_2.9   High
CVE-2019-3855   libssh2-1.4.3-10.el7_2.1   High
CVE-2019-3856   libssh2-1.4.3-10.el7_2.1   High
CVE-2019-3857   libssh2-1.4.3-10.el7_2.1   High
CVE-2019-3863   libssh2-1.4.3-10.el7_2.1   High
CVE-2019-9636   python-libs-2.7.5-34.el7   High
CVE-2018-5743   bind-license-9.9.4-29.el7_2.3   High
CVE-2019-10160   python-libs-2.7.5-34.el7   High
CVE-2019-12735   vim-minimal-7.4.160-1.el7   High
CVE-2016-3075   glibc-common-2.17-106.el7_2.6   Low
CVE-2016-5636   python-libs-2.7.5-34.el7   Low
CVE-2016-3119   krb5-libs-1.13.2-12.el7_2   Low
CVE-2016-3120   krb5-libs-1.13.2-12.el7_2   Low
CVE-2016-5011   util-linux-2.23.2-26.el7_2.2   Low
CVE-2017-11671   libstdc++-4.8.5-4.el7   Low
CVE-2018-10372   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-10373   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-10534   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-10535   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-13033   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-7208   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-7568   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-7569   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-7642   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-7643   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-8945   binutils-2.23.52.0.1-55.el7   Low
CVE-2018-5729   krb5-libs-1.13.2-12.el7_2   Low
CVE-2018-5730   krb5-libs-1.13.2-12.el7_2   Low
CVE-2018-1113   setup-2.8.71-6.el7   Low
CVE-2019-3815   systemd-libs-219-19.el7_2.9   Low
CVE-2018-14618   libcurl-7.29.0-25.el7.centos   Low
CVE-2018-16842   libcurl-7.29.0-25.el7.centos   Low
CVE-2018-16062   elfutils-libs-0.163-3.el7   Low
CVE-2018-16402   elfutils-libs-0.163-3.el7   Low
CVE-2018-16403   elfutils-libs-0.163-3.el7   Low
CVE-2018-18310   elfutils-libs-0.163-3.el7   Low
CVE-2018-18520   elfutils-libs-0.163-3.el7   Low
CVE-2018-18521   elfutils-libs-0.163-3.el7   Low
CVE-2019-7149   elfutils-libs-0.163-3.el7   Low
CVE-2019-7150   elfutils-libs-0.163-3.el7   Low
CVE-2019-7664   elfutils-libs-0.163-3.el7   Low
CVE-2019-7665   elfutils-libs-0.163-3.el7   Low
CVE-2016-0772   python-libs-2.7.5-34.el7   Medium
CVE-2016-1000110   python-libs-2.7.5-34.el7   Medium
CVE-2016-5699   python-libs-2.7.5-34.el7   Medium
CVE-2016-5419   libcurl-7.29.0-25.el7.centos   Medium
CVE-2016-5420   libcurl-7.29.0-25.el7.centos   Medium
CVE-2016-7141   libcurl-7.29.0-25.el7.centos   Medium
CVE-2016-7795   systemd-libs-219-19.el7_2.9   Medium
CVE-2016-6313   libgcrypt-1.5.3-12.el7_1.1   Medium
CVE-2016-2834   nss-util-3.21.0-2.2.el7_2   Medium
CVE-2016-5285   nss-util-3.21.0-2.2.el7_2   Medium
CVE-2016-8635   nss-util-3.21.0-2.2.el7_2   Medium
CVE-2016-0718   expat-2.1.0-8.el7   Medium
CVE-2016-1248   vim-minimal-7.4.160-1.el7   Medium
CVE-2017-3135   bind-license-9.9.4-29.el7_2.3   Medium
CVE-2016-8610   openssl-libs-1.0.1e-51.el7_2.5   Medium
CVE-2017-3731   openssl-libs-1.0.1e-51.el7_2.5   Medium
CVE-2017-2616   util-linux-2.23.2-26.el7_2.2   Medium
CVE-2017-9287   openldap-2.4.40-9.el7_2   Medium
CVE-2015-2806   libtasn1-3.8-2.el7   Medium
CVE-2015-3622   libtasn1-3.8-2.el7   Medium
CVE-2014-9365   python-libs-2.7.5-34.el7   Medium
CVE-2014-9761   glibc-common-2.17-106.el7_2.6   Medium
CVE-2015-8776   glibc-common-2.17-106.el7_2.6   Medium
CVE-2015-8777   glibc-common-2.17-106.el7_2.6   Medium
CVE-2015-8778   glibc-common-2.17-106.el7_2.6   Medium
CVE-2015-8779   glibc-common-2.17-106.el7_2.6   Medium
CVE-2016-0634   bash-4.2.46-19.el7   Medium
CVE-2016-7543   bash-4.2.46-19.el7   Medium
CVE-2016-9401   bash-4.2.46-19.el7   Medium
CVE-2016-7167   libcurl-7.29.0-25.el7.centos   Medium
CVE-2017-1000257   libcurl-7.29.0-25.el7.centos   Medium
CVE-2018-1049   systemd-libs-219-19.el7_2.9   Medium
CVE-2017-11368   krb5-libs-1.13.2-12.el7_2   Medium
CVE-2017-7562   krb5-libs-1.13.2-12.el7_2   Medium
CVE-2014-9402   glibc-common-2.17-106.el7_2.6   Medium
CVE-2015-5180   glibc-common-2.17-106.el7_2.6   Medium
CVE-2017-12132   glibc-common-2.17-106.el7_2.6   Medium
CVE-2017-15670   glibc-common-2.17-106.el7_2.6   Medium
CVE-2017-15804   glibc-common-2.17-106.el7_2.6   Medium
CVE-2018-1000001   glibc-common-2.17-106.el7_2.6   Medium
CVE-2017-3736   openssl-libs-1.0.1e-51.el7_2.5   Medium
CVE-2017-3737   openssl-libs-1.0.1e-51.el7_2.5   Medium
CVE-2017-3738   openssl-libs-1.0.1e-51.el7_2.5   Medium
CVE-2016-2183   python-libs-2.7.5-34.el7   Medium
CVE-2018-12384   nss-tools-3.21.0-9.el7_2   Medium
CVE-2018-1060   python-libs-2.7.5-34.el7   Medium
CVE-2018-1061   python-libs-2.7.5-34.el7   Medium
CVE-2017-16997   glibc-common-2.17-106.el7_2.6   Medium
CVE-2018-11236   glibc-common-2.17-106.el7_2.6   Medium
CVE-2018-11237   glibc-common-2.17-106.el7_2.6   Medium
CVE-2018-6485   glibc-common-2.17-106.el7_2.6   Medium
CVE-2015-9381   gobject-introspection-1.42.0-1.el7   Medium
