Vulnerability_ID        Package                       Severity        Fix              CVE Refs        Vulnerability URL                                                   
CVE-2018-20843          expat-2.2.6-r0                High            2.2.7-r0                         http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-20843        
CVE-2019-12900          libbz2-1.0.6-r6               High            1.0.6-r7                         http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-12900        
CVE-2019-8457           sqlite-libs-3.26.0-r3         High            3.28.0-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8457         
CVE-2019-7317           libpng-1.6.35-r0              Low             1.6.37-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-7317         
CVE-2019-7317           libpng-dev-1.6.35-r0          Low             1.6.37-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-7317         
CVE-2018-14048          libpng-1.6.35-r0              Medium          1.6.37-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-14048        
CVE-2018-14048          libpng-dev-1.6.35-r0          Medium          1.6.37-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-14048        
CVE-2018-14550          libpng-1.6.35-r0              Medium          1.6.37-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-14550        
CVE-2018-14550          libpng-dev-1.6.35-r0          Medium          1.6.37-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-14550        
CVE-2018-14647          python2-2.7.15-r3             Medium          2.7.16-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-14647        
CVE-2019-1543           libcrypto1.1-1.1.1a-r1        Medium          1.1.1b-r1                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1543         
CVE-2019-1543           libssl1.1-1.1.1a-r1           Medium          1.1.1b-r1                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-1543         
CVE-2019-5018           sqlite-libs-3.26.0-r3         Medium          3.28.0-r0                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-5018         
CVE-2019-8904           file-5.35-r0                  Medium          5.36-r0                          http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8904         
CVE-2019-8904           libmagic-5.35-r0              Medium          5.36-r0                          http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8904         
CVE-2019-8905           file-5.35-r0                  Medium          5.36-r0                          http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8905         
CVE-2019-8905           libmagic-5.35-r0              Medium          5.36-r0                          http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8905         
CVE-2019-8906           file-5.35-r0                  Medium          5.36-r0                          http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8906         
CVE-2019-8906           libmagic-5.35-r0              Medium          5.36-r0                          http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8906         
CVE-2019-8907           file-5.35-r0                  Medium          5.36-r0                          http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8907         
CVE-2019-8907           libmagic-5.35-r0              Medium          5.36-r0                          http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-8907         
CVE-2019-9636           python2-2.7.15-r3             Medium          2.7.16-r1                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9636         
CVE-2019-9948           python2-2.7.15-r3             Medium          2.7.16-r1                        http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9948         
