+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION        | CVE DESCRIPTION                                            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2015:1981 | nss-util                 | 3.19.1-3.el7_1         | Network Security Services (NSS) is a set of                |
|            |                         |                          |                        | libraries designed to support  cross-platform              |
|            |                         |                          |                        | development of security-enabled client                     |
|            |                         |                          |                        | and server applications. Netscape Portable                 |
|            |                         |                          |                        | Runtime (NSPR) provides platform independence              |
|            |                         |                          |                        | for non-GUI operating system facilities.  A                |
|            |                         |                          |                        | use-after-poison flaw and a heap-based buffer              |
|            |                         |                          |                        | overflow flaw were found in the way NSS parsed             |
|            |                         |                          |                        | certain ASN.1 structures. An attacker could                |
|            |                         |                          |                        | use these flaws to cause NSS to crash or                   |
|            |                         |                          |                        | execute arbitrary code with the permissions                |
|            |                         |                          |                        | of the user running an application compiled                |
|            |                         |                          |                        | against the NSS library. (CVE-2015-7181,                   |
|            |                         |                          |                        | CVE-2015-7182) A heap-based buffer overflow                |
|            |                         |                          |                        | was found in NSPR. An attacker could use                   |
|            |                         |                          |                        | this flaw to cause NSPR to crash or execute                |
|            |                         |                          |                        | arbitrary code with the permissions of the                 |
|            |                         |                          |                        | user running an application compiled against               |
|            |                         |                          |                        | the NSPR library. (CVE-2015-7183) Note:                    |
|            |                         |                          |                        | Applications using NSPR's PL_ARENA_ALLOCATE,               |
|            |                         |                          |                        | PR_ARENA_ALLOCATE, PL_ARENA_GROW, or                       |
|            |                         |                          |                        | PR_ARENA_GROW macros need to be rebuild                    |
|            |                         |                          |                        | against the fixed nspr packages to completely              |
|            |                         |                          |                        | resolve the CVE-2015-7183 issue. This erratum              |
|            |                         |                          |                        | includes nss and nss-utils packages rebuilt                |
|            |                         |                          |                        | against the fixed nspr version. Red Hat                    |
|            |                         |                          |                        | would like to thank the Mozilla project for                |
|            |                         |                          |                        | reporting these issues. Upstream acknowledges              |
|            |                         |                          |                        | Tyson Smith, David Keeler and Ryan Sleevi                  |
|            |                         |                          |                        | as the original reporter. All nss, nss-util                |
|            |                         |                          |                        | and nspr users are advised to upgrade                      |
|            |                         |                          |                        | to these updated packages, which contain                   |
|            |                         |                          |                        | backported patches to correct these issues.                |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2015:1981            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2015:1981 | nspr                     | 4.10.8-1.el7_1         | Network Security Services (NSS) is a set of                |
|            |                         |                          |                        | libraries designed to support  cross-platform              |
|            |                         |                          |                        | development of security-enabled client                     |
|            |                         |                          |                        | and server applications. Netscape Portable                 |
|            |                         |                          |                        | Runtime (NSPR) provides platform independence              |
|            |                         |                          |                        | for non-GUI operating system facilities.  A                |
|            |                         |                          |                        | use-after-poison flaw and a heap-based buffer              |
|            |                         |                          |                        | overflow flaw were found in the way NSS parsed             |
|            |                         |                          |                        | certain ASN.1 structures. An attacker could                |
|            |                         |                          |                        | use these flaws to cause NSS to crash or                   |
|            |                         |                          |                        | execute arbitrary code with the permissions                |
|            |                         |                          |                        | of the user running an application compiled                |
|            |                         |                          |                        | against the NSS library. (CVE-2015-7181,                   |
|            |                         |                          |                        | CVE-2015-7182) A heap-based buffer overflow                |
|            |                         |                          |                        | was found in NSPR. An attacker could use                   |
|            |                         |                          |                        | this flaw to cause NSPR to crash or execute                |
|            |                         |                          |                        | arbitrary code with the permissions of the                 |
|            |                         |                          |                        | user running an application compiled against               |
|            |                         |                          |                        | the NSPR library. (CVE-2015-7183) Note:                    |
|            |                         |                          |                        | Applications using NSPR's PL_ARENA_ALLOCATE,               |
|            |                         |                          |                        | PR_ARENA_ALLOCATE, PL_ARENA_GROW, or                       |
|            |                         |                          |                        | PR_ARENA_GROW macros need to be rebuild                    |
|            |                         |                          |                        | against the fixed nspr packages to completely              |
|            |                         |                          |                        | resolve the CVE-2015-7183 issue. This erratum              |
|            |                         |                          |                        | includes nss and nss-utils packages rebuilt                |
|            |                         |                          |                        | against the fixed nspr version. Red Hat                    |
|            |                         |                          |                        | would like to thank the Mozilla project for                |
|            |                         |                          |                        | reporting these issues. Upstream acknowledges              |
|            |                         |                          |                        | Tyson Smith, David Keeler and Ryan Sleevi                  |
