+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION      | CVE DESCRIPTION                                 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-tools                | 3.21.0-9.el7_2       | Network Security Services (NSS) is a            |
|            |                         |                          |                      | set of libraries designed to support the        |
|            |                         |                          |                      | cross-platform development of security-enabled  |
|            |                         |                          |                      | client and server applications. The nss-util    |
|            |                         |                          |                      | packages provide utilities for use with the     |
|            |                         |                          |                      | Network Security Services (NSS) libraries.      |
|            |                         |                          |                      | The following packages have been upgraded       |
|            |                         |                          |                      | to a newer upstream version: nss (3.28.4),      |
|            |                         |                          |                      | nss-util (3.28.4). Security Fix(es): * An       |
|            |                         |                          |                      | out-of-bounds write flaw was found in the       |
|            |                         |                          |                      | way NSS performed certain Base64-decoding       |
|            |                         |                          |                      | operations. An attacker could use this flaw to  |
|            |                         |                          |                      | create a specially crafted certificate which,   |
|            |                         |                          |                      | when parsed by NSS, could cause it to crash or  |
|            |                         |                          |                      | execute arbitrary code, using the permissions   |
|            |                         |                          |                      | of the user running an application compiled     |
|            |                         |                          |                      | against the NSS library. (CVE-2017-5461) Red    |
|            |                         |                          |                      | Hat would like to thank the Mozilla project     |
|            |                         |                          |                      | for reporting this issue. Upstream acknowledges |
|            |                         |                          |                      | Ronald Crane as the original reporter.          |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2017:1100 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-util                 | 3.21.0-2.2.el7_2     | Network Security Services (NSS) is a            |
|            |                         |                          |                      | set of libraries designed to support the        |
|            |                         |                          |                      | cross-platform development of security-enabled  |
|            |                         |                          |                      | client and server applications. The nss-util    |
|            |                         |                          |                      | packages provide utilities for use with the     |
|            |                         |                          |                      | Network Security Services (NSS) libraries.      |
|            |                         |                          |                      | The following packages have been upgraded       |
|            |                         |                          |                      | to a newer upstream version: nss (3.28.4),      |
|            |                         |                          |                      | nss-util (3.28.4). Security Fix(es): * An       |
|            |                         |                          |                      | out-of-bounds write flaw was found in the       |
|            |                         |                          |                      | way NSS performed certain Base64-decoding       |
|            |                         |                          |                      | operations. An attacker could use this flaw to  |
|            |                         |                          |                      | create a specially crafted certificate which,   |
|            |                         |                          |                      | when parsed by NSS, could cause it to crash or  |
|            |                         |                          |                      | execute arbitrary code, using the permissions   |
|            |                         |                          |                      | of the user running an application compiled     |
|            |                         |                          |                      | against the NSS library. (CVE-2017-5461) Red    |
|            |                         |                          |                      | Hat would like to thank the Mozilla project     |
|            |                         |                          |                      | for reporting this issue. Upstream acknowledges |
|            |                         |                          |                      | Ronald Crane as the original reporter.          |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2017:1100 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-sysinit              | 3.21.0-9.el7_2       | Network Security Services (NSS) is a            |
|            |                         |                          |                      | set of libraries designed to support the        |
|            |                         |                          |                      | cross-platform development of security-enabled  |
|            |                         |                          |                      | client and server applications. The nss-util    |
|            |                         |                          |                      | packages provide utilities for use with the     |
|            |                         |                          |                      | Network Security Services (NSS) libraries.      |
|            |                         |                          |                      | The following packages have been upgraded       |
|            |                         |                          |                      | to a newer upstream version: nss (3.28.4),      |
|            |                         |                          |                      | nss-util (3.28.4). Security Fix(es): * An       |
|            |                         |                          |                      | out-of-bounds write flaw was found in the       |
|            |                         |                          |                      | way NSS performed certain Base64-decoding       |
|            |                         |                          |                      | operations. An attacker could use this flaw to  |
|            |                         |                          |                      | create a specially crafted certificate which,   |
|            |                         |                          |                      | when parsed by NSS, could cause it to crash or  |
|            |                         |                          |                      | execute arbitrary code, using the permissions   |
|            |                         |                          |                      | of the user running an application compiled     |
|            |                         |                          |                      | against the NSS library. (CVE-2017-5461) Red    |
|            |                         |                          |                      | Hat would like to thank the Mozilla project     |
|            |                         |                          |                      | for reporting this issue. Upstream acknowledges |
|            |                         |                          |                      | Ronald Crane as the original reporter.          |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2017:1100 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss                      | 3.21.0-9.el7_2       | Network Security Services (NSS) is a            |
|            |                         |                          |                      | set of libraries designed to support the        |
|            |                         |                          |                      | cross-platform development of security-enabled  |
|            |                         |                          |                      | client and server applications. The nss-util    |
|            |                         |                          |                      | packages provide utilities for use with the     |
|            |                         |                          |                      | Network Security Services (NSS) libraries.      |
|            |                         |                          |                      | The following packages have been upgraded       |
|            |                         |                          |                      | to a newer upstream version: nss (3.28.4),      |
|            |                         |                          |                      | nss-util (3.28.4). Security Fix(es): * An       |
|            |                         |                          |                      | out-of-bounds write flaw was found in the       |
|            |                         |                          |                      | way NSS performed certain Base64-decoding       |
|            |                         |                          |                      | operations. An attacker could use this flaw to  |
|            |                         |                          |                      | create a specially crafted certificate which,   |
|            |                         |                          |                      | when parsed by NSS, could cause it to crash or  |
|            |                         |                          |                      | execute arbitrary code, using the permissions   |
|            |                         |                          |                      | of the user running an application compiled     |
|            |                         |                          |                      | against the NSS library. (CVE-2017-5461) Red    |
|            |                         |                          |                      | Hat would like to thank the Mozilla project     |
|            |                         |                          |                      | for reporting this issue. Upstream acknowledges |
|            |                         |                          |                      | Ronald Crane as the original reporter.          |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2017:1100 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0679     | libssh2                  | 1.4.3-10.el7_2.1     | The libssh2 packages provide a library          |
|            |                         |                          |                      | that implements the SSH2 protocol. Security     |
|            |                         |                          |                      | Fix(es): * libssh2: Integer overflow in         |
|            |                         |                          |                      | transport read resulting in out of bounds write |
|            |                         |                          |                      | (CVE-2019-3855) * libssh2: Integer overflow     |
|            |                         |                          |                      | in keyboard interactive handling resulting in   |
|            |                         |                          |                      | out of bounds write (CVE-2019-3856) * libssh2:  |
|            |                         |                          |                      | Integer overflow in SSH packet processing       |
|            |                         |                          |                      | channel resulting in out of bounds write        |
|            |                         |                          |                      | (CVE-2019-3857) * libssh2: Integer overflow in  |
|            |                         |                          |                      | user authenticate keyboard interactive allows   |
|            |                         |                          |                      | out-of-bounds writes (CVE-2019-3863) For more   |
|            |                         |                          |                      | details about the security issue(s), including  |
|            |                         |                          |                      | the impact, a CVSS score, acknowledgments,      |
|            |                         |                          |                      | and other related information, refer to the     |
|            |                         |                          |                      | CVE page(s) listed in the References section.   |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:0679 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:1292     | libxml2                  | 2.9.1-6.el7_2.2      | The libxml2 library is a development toolbox    |
|            |                         |                          |                      | providing the implementation of various XML     |
|            |                         |                          |                      | standards. Security Fix(es): A heap-based       |
|            |                         |                          |                      | buffer overflow flaw was found in the way       |
|            |                         |                          |                      | libxml2 parsed certain crafted XML input.       |
|            |                         |                          |                      | A remote attacker could provide a specially     |
|            |                         |                          |                      | crafted XML file that, when opened in an        |
|            |                         |                          |                      | application linked against libxml2, would       |
|            |                         |                          |                      | cause the application to crash or execute       |
|            |                         |                          |                      | arbitrary code with the permissions of the      |
|            |                         |                          |                      | user running the application. (CVE-2016-1834,   |
|            |                         |                          |                      | CVE-2016-1840) Multiple denial of service       |
|            |                         |                          |                      | flaws were found in libxml2. A remote attacker  |
|            |                         |                          |                      | could provide a specially crafted XML file      |
|            |                         |                          |                      | that, when processed by an application using    |
|            |                         |                          |                      | libxml2, could cause that application to crash. |
|            |                         |                          |                      |  (CVE-2016-1762, CVE-2016-1833, CVE-2016-1835,  |
|            |                         |                          |                      | CVE-2016-1836, CVE-2016-1837, CVE-2016-1838,    |
|            |                         |                          |                      | CVE-2016-1839, CVE-2016-3627, CVE-2016-3705,    |
|            |                         |                          |                      | CVE-2016-4447, CVE-2016-4448, CVE-2016-4449)    |
