+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME                | PACKAGE VERSION        | CVE DESCRIPTION                                            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0109   | perl-libs                   | 4:5.16.3-292.el7       | Perl is a high-level programming language that             |
|            |                       |                             |                        | is commonly used for system administration                 |
|            |                       |                             |                        | utilities and web programming. Security                    |
|            |                       |                             |                        | Fix(es): * perl: Integer overflow leading                  |
|            |                       |                             |                        | to buffer overflow in Perl_my_setenv()                     |
|            |                       |                             |                        | (CVE-2018-18311) For more details about                    |
|            |                       |                             |                        | the security issue(s), including the                       |
|            |                       |                             |                        | impact, a CVSS score, and other related                    |
|            |                       |                             |                        | information, refer to the CVE page(s)                      |
|            |                       |                             |                        | listed in the References section. Red Hat                  |
|            |                       |                             |                        | would like to thank the Perl project for                   |
|            |                       |                             |                        | reporting this issue. Upstream acknowledges                |
|            |                       |                             |                        | Jayakrishna Menon as the original reporter.                |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0109            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0710   | python                      | 2.7.5-58.el7           | Python is an interpreted, interactive,                     |
|            |                       |                             |                        | object-oriented programming language, which                |
|            |                       |                             |                        | includes modules, classes, exceptions, very                |
|            |                       |                             |                        | high level dynamic data types and dynamic                  |
|            |                       |                             |                        | typing. Python supports interfaces to                      |
|            |                       |                             |                        | many system calls and libraries, as well                   |
|            |                       |                             |                        | as to various windowing systems. Security                  |
|            |                       |                             |                        | Fix(es): * python: Information Disclosure                  |
|            |                       |                             |                        | due to urlsplit improper NFKC normalization                |
|            |                       |                             |                        | (CVE-2019-9636) For more details about the                 |
|            |                       |                             |                        | security issue(s), including the impact,                   |
|            |                       |                             |                        | a CVSS score, acknowledgments, and other                   |
|            |                       |                             |                        | related information, refer to the CVE                      |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0710            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1587   | python                      | 2.7.5-58.el7           | Python is an interpreted, interactive,                     |
|            |                       |                             |                        | object-oriented programming language, which                |
|            |                       |                             |                        | includes modules, classes, exceptions, very                |
|            |                       |                             |                        | high level dynamic data types and dynamic                  |
|            |                       |                             |                        | typing. Python supports interfaces to many                 |
|            |                       |                             |                        | system calls and libraries, as well as to                  |
|            |                       |                             |                        | various windowing systems. Security Fix(es):               |
|            |                       |                             |                        | * python: regression of CVE-2019-9636 due                  |
|            |                       |                             |                        | to functional fix to allow port numbers in                 |
|            |                       |                             |                        | netloc (CVE-2019-10160) For more details                   |
|            |                       |                             |                        | about the security issue(s), including the                 |
|            |                       |                             |                        | impact, a CVSS score, acknowledgments, and                 |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:1587            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:3408   | perl-Git                    | 1.8.3.1-12.el7_4       | Git is a distributed revision control system               |
|            |                       |                             |                        | with a decentralized architecture. As opposed              |
|            |                       |                             |                        | to centralized version control systems with                |
|            |                       |                             |                        | a client-server model, Git ensures that                    |
|            |                       |                             |                        | each working copy of a Git repository is an                |
|            |                       |                             |                        | exact copy with complete revision history.                 |
|            |                       |                             |                        | This not only allows the user to work on and               |
|            |                       |                             |                        | contribute to projects without the need to                 |
|            |                       |                             |                        | have permission to push the changes to their               |
|            |                       |                             |                        | official repositories, but also makes it                   |
|            |                       |                             |                        | possible for the user to work with no network              |
|            |                       |                             |                        | connection. Security Fix(es): * git: arbitrary             |
|            |                       |                             |                        | code execution via .gitmodules (CVE-2018-17456)            |
|            |                       |                             |                        | For more details about the security issue(s),              |
|            |                       |                             |                        | including the impact, a CVSS score, and                    |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:3408            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0109   | perl-Pod-Escapes            | 1:1.04-292.el7         | Perl is a high-level programming language that             |
|            |                       |                             |                        | is commonly used for system administration                 |
|            |                       |                             |                        | utilities and web programming. Security                    |
|            |                       |                             |                        | Fix(es): * perl: Integer overflow leading                  |
|            |                       |                             |                        | to buffer overflow in Perl_my_setenv()                     |
|            |                       |                             |                        | (CVE-2018-18311) For more details about                    |
|            |                       |                             |                        | the security issue(s), including the                       |
|            |                       |                             |                        | impact, a CVSS score, and other related                    |
|            |                       |                             |                        | information, refer to the CVE page(s)                      |
|            |                       |                             |                        | listed in the References section. Red Hat                  |
|            |                       |                             |                        | would like to thank the Perl project for                   |
|            |                       |                             |                        | reporting this issue. Upstream acknowledges                |
|            |                       |                             |                        | Jayakrishna Menon as the original reporter.                |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0109            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1957   | perl-Git                    | 1.8.3.1-12.el7_4       | Git is a distributed revision control system               |
|            |                       |                             |                        | with a decentralized architecture. As opposed              |
|            |                       |                             |                        | to centralized version control systems with                |
|            |                       |                             |                        | a client-server model, Git ensures that                    |
|            |                       |                             |                        | each working copy of a Git repository is an                |
|            |                       |                             |                        | exact copy with complete revision history.                 |
|            |                       |                             |                        | This not only allows the user to work on and               |
|            |                       |                             |                        | contribute to projects without the need to                 |
|            |                       |                             |                        | have permission to push the changes to their               |
|            |                       |                             |                        | official repositories, but also makes it                   |
|            |                       |                             |                        | possible for the user to work with no network              |
|            |                       |                             |                        | connection. Security Fix(es): * git: arbitrary             |
|            |                       |                             |                        | code execution when recursively cloning a                  |
|            |                       |                             |                        | malicious repository (CVE-2018-11235) For                  |
|            |                       |                             |                        | more details about the security issue(s),                  |
|            |                       |                             |                        | including the impact, a CVSS score, and                    |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:1957            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1619   | vim-minimal                 | 2:7.4.160-2.el7        | Vim (Vi IMproved) is an updated and improved               |
|            |                       |                             |                        | version of the vi editor. Security Fix(es):                |
|            |                       |                             |                        | * vim/neovim: ':source!' command allows                    |
|            |                       |                             |                        | arbitrary command execution via modelines                  |
|            |                       |                             |                        | (CVE-2019-12735) For more details about the                |
|            |                       |                             |                        | security issue(s), including the impact,                   |
