Vulnerability_ID     Package    Severity
CVE-2017-5461   nss-tools   Critical
CVE-2017-7502   nss-tools   High
CVE-2019-9636   python   High
CVE-2017-1000117   git   High
CVE-2019-12749   dbus-libs   High
CVE-2017-3136   bind-libs   High
CVE-2017-3137   bind-libs   High
CVE-2017-3142   bind-libs   High
CVE-2017-3143   bind-libs   High
CVE-2018-10897   yum-plugin-ovl   High
CVE-2019-3855   libssh2   High
CVE-2019-3856   libssh2   High
CVE-2019-3857   libssh2   High
CVE-2019-3863   libssh2   High
CVE-2016-2848   bind-libs   High
CVE-2018-5740   bind-libs   High
CVE-2017-1000366   glibc-headers   High
CVE-2016-7545   policycoreutils   High
CVE-2017-1000364   kernel-headers   High
CVE-2017-1000379   kernel-headers   High
CVE-2017-7542   kernel-headers   High
CVE-2017-9074   kernel-headers   High
CVE-2017-11176   kernel-headers   High
CVE-2019-3896   kernel-headers   High
CVE-2019-11477   kernel-headers   High
CVE-2019-11478   kernel-headers   High
CVE-2019-11479   kernel-headers   High
CVE-2017-1000251   kernel-headers   High
CVE-2018-13405   kernel-headers   High
CVE-2016-2776   bind-libs   High
CVE-2018-10902   kernel-headers   High
CVE-2018-12126   kernel-headers   High
CVE-2018-12127   kernel-headers   High
CVE-2018-12130   kernel-headers   High
CVE-2019-11091   kernel-headers   High
CVE-2018-9568   kernel-headers   High
CVE-2019-11810   kernel-headers   High
CVE-2012-6701   kernel-headers   High
CVE-2015-8830   kernel-headers   High
CVE-2016-8650   kernel-headers   High
CVE-2017-2671   kernel-headers   High
CVE-2017-6001   kernel-headers   High
CVE-2017-7308   kernel-headers   High
CVE-2017-7616   kernel-headers   High
CVE-2017-7889   kernel-headers   High
CVE-2017-8890   kernel-headers   High
CVE-2017-9075   kernel-headers   High
CVE-2017-9076   kernel-headers   High
CVE-2017-9077   kernel-headers   High
CVE-2017-12190   kernel-headers   High
CVE-2017-15121   kernel-headers   High
CVE-2017-18203   kernel-headers   High
CVE-2018-1130   kernel-headers   High
CVE-2018-3639   kernel-headers   High
CVE-2018-5803   kernel-headers   High
CVE-2017-3139   bind-libs   High
CVE-2016-5195   kernel-headers   High
CVE-2016-1583   kernel-headers   High
CVE-2016-2143   kernel-headers   High
CVE-2017-7895   kernel-headers   High
CVE-2018-5743   bind-libs   High
CVE-2017-1000253   kernel-headers   High
CVE-2016-7910   kernel-headers   High
CVE-2017-2636   kernel-headers   High
CVE-2017-14106   kernel-headers   High
CVE-2017-1000111   kernel-headers   High
CVE-2017-1000112   kernel-headers   High
CVE-2016-4470   kernel-headers   High
CVE-2016-5829   kernel-headers   High
CVE-2016-9147   bind-libs   High
CVE-2017-3145   bind-libs   High
CVE-2017-7645   kernel-headers   High
CVE-2017-8824   kernel-headers   High
CVE-2017-13166   kernel-headers   High
CVE-2017-18017   kernel-headers   High
CVE-2017-1000410   kernel-headers   High
CVE-2018-8897   kernel-headers   High
CVE-2018-3665   kernel-headers   High
CVE-2018-10675   kernel-headers   High
CVE-2018-10872   kernel-headers   High
CVE-2016-4998   kernel-headers   High
CVE-2016-6828   kernel-headers   High
CVE-2016-7117   kernel-headers   High
CVE-2017-17805   kernel-headers   High
CVE-2018-17972   kernel-headers   High
CVE-2019-1125   kernel-headers   High
CVE-2019-5489   kernel-headers   High
CVE-2018-5391   kernel-headers   High
CVE-2018-14634   kernel-headers   High
