+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION       | CVE DESCRIPTION                                 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-util                 | 3.21.0-2.el6          | Network Security Services (NSS) is a            |
|            |                         |                          |                       | set of libraries designed to support the        |
|            |                         |                          |                       | cross-platform development of security-enabled  |
|            |                         |                          |                       | client and server applications. The nss-util    |
|            |                         |                          |                       | packages provide utilities for use with the     |
|            |                         |                          |                       | Network Security Services (NSS) libraries.      |
|            |                         |                          |                       | The following packages have been upgraded       |
|            |                         |                          |                       | to a newer upstream version: nss (3.28.4),      |
|            |                         |                          |                       | nss-util (3.28.4). Security Fix(es): * An       |
|            |                         |                          |                       | out-of-bounds write flaw was found in the       |
|            |                         |                          |                       | way NSS performed certain Base64-decoding       |
|            |                         |                          |                       | operations. An attacker could use this flaw to  |
|            |                         |                          |                       | create a specially crafted certificate which,   |
|            |                         |                          |                       | when parsed by NSS, could cause it to crash or  |
|            |                         |                          |                       | execute arbitrary code, using the permissions   |
|            |                         |                          |                       | of the user running an application compiled     |
|            |                         |                          |                       | against the NSS library. (CVE-2017-5461) Red    |
|            |                         |                          |                       | Hat would like to thank the Mozilla project     |
|            |                         |                          |                       | for reporting this issue. Upstream acknowledges |
|            |                         |                          |                       | Ronald Crane as the original reporter.          |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:1100 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss                      | 3.21.0-8.el6          | Network Security Services (NSS) is a            |
|            |                         |                          |                       | set of libraries designed to support the        |
|            |                         |                          |                       | cross-platform development of security-enabled  |
|            |                         |                          |                       | client and server applications. The nss-util    |
|            |                         |                          |                       | packages provide utilities for use with the     |
|            |                         |                          |                       | Network Security Services (NSS) libraries.      |
|            |                         |                          |                       | The following packages have been upgraded       |
|            |                         |                          |                       | to a newer upstream version: nss (3.28.4),      |
|            |                         |                          |                       | nss-util (3.28.4). Security Fix(es): * An       |
|            |                         |                          |                       | out-of-bounds write flaw was found in the       |
|            |                         |                          |                       | way NSS performed certain Base64-decoding       |
|            |                         |                          |                       | operations. An attacker could use this flaw to  |
|            |                         |                          |                       | create a specially crafted certificate which,   |
|            |                         |                          |                       | when parsed by NSS, could cause it to crash or  |
|            |                         |                          |                       | execute arbitrary code, using the permissions   |
|            |                         |                          |                       | of the user running an application compiled     |
|            |                         |                          |                       | against the NSS library. (CVE-2017-5461) Red    |
|            |                         |                          |                       | Hat would like to thank the Mozilla project     |
|            |                         |                          |                       | for reporting this issue. Upstream acknowledges |
|            |                         |                          |                       | Ronald Crane as the original reporter.          |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:1100 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-sysinit              | 3.21.0-8.el6          | Network Security Services (NSS) is a            |
|            |                         |                          |                       | set of libraries designed to support the        |
|            |                         |                          |                       | cross-platform development of security-enabled  |
|            |                         |                          |                       | client and server applications. The nss-util    |
|            |                         |                          |                       | packages provide utilities for use with the     |
|            |                         |                          |                       | Network Security Services (NSS) libraries.      |
|            |                         |                          |                       | The following packages have been upgraded       |
|            |                         |                          |                       | to a newer upstream version: nss (3.28.4),      |
|            |                         |                          |                       | nss-util (3.28.4). Security Fix(es): * An       |
|            |                         |                          |                       | out-of-bounds write flaw was found in the       |
|            |                         |                          |                       | way NSS performed certain Base64-decoding       |
|            |                         |                          |                       | operations. An attacker could use this flaw to  |
|            |                         |                          |                       | create a specially crafted certificate which,   |
|            |                         |                          |                       | when parsed by NSS, could cause it to crash or  |
|            |                         |                          |                       | execute arbitrary code, using the permissions   |
|            |                         |                          |                       | of the user running an application compiled     |
|            |                         |                          |                       | against the NSS library. (CVE-2017-5461) Red    |
|            |                         |                          |                       | Hat would like to thank the Mozilla project     |
|            |                         |                          |                       | for reporting this issue. Upstream acknowledges |
|            |                         |                          |                       | Ronald Crane as the original reporter.          |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:1100 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Critical RHSA-2017:1100 | nss-tools                | 3.21.0-8.el6          | Network Security Services (NSS) is a            |
|            |                         |                          |                       | set of libraries designed to support the        |
|            |                         |                          |                       | cross-platform development of security-enabled  |
|            |                         |                          |                       | client and server applications. The nss-util    |
|            |                         |                          |                       | packages provide utilities for use with the     |
|            |                         |                          |                       | Network Security Services (NSS) libraries.      |
|            |                         |                          |                       | The following packages have been upgraded       |
|            |                         |                          |                       | to a newer upstream version: nss (3.28.4),      |
|            |                         |                          |                       | nss-util (3.28.4). Security Fix(es): * An       |
|            |                         |                          |                       | out-of-bounds write flaw was found in the       |
|            |                         |                          |                       | way NSS performed certain Base64-decoding       |
|            |                         |                          |                       | operations. An attacker could use this flaw to  |
|            |                         |                          |                       | create a specially crafted certificate which,   |
|            |                         |                          |                       | when parsed by NSS, could cause it to crash or  |
|            |                         |                          |                       | execute arbitrary code, using the permissions   |
|            |                         |                          |                       | of the user running an application compiled     |
|            |                         |                          |                       | against the NSS library. (CVE-2017-5461) Red    |
|            |                         |                          |                       | Hat would like to thank the Mozilla project     |
|            |                         |                          |                       | for reporting this issue. Upstream acknowledges |
|            |                         |                          |                       | Ronald Crane as the original reporter.          |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:1100 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1364     | nss                      | 3.21.0-8.el6          | Network Security Services (NSS) is a            |
|            |                         |                          |                       | set of libraries designed to support the        |
|            |                         |                          |                       | cross-platform development of security-enabled  |
|            |                         |                          |                       | client and server applications. Security        |
|            |                         |                          |                       | Fix(es): * A null pointer dereference flaw      |
|            |                         |                          |                       | was found in the way NSS handled empty SSLv2    |
|            |                         |                          |                       | messages. An attacker could use this flaw to    |
|            |                         |                          |                       | crash a server application compiled against     |
|            |                         |                          |                       | the NSS library. (CVE-2017-7502) Bug Fix(es):   |
|            |                         |                          |                       | * The Network Security Services (NSS) code      |
|            |                         |                          |                       | and Certificate Authority (CA) list have        |
|            |                         |                          |                       | been updated to meet the recommendations        |
|            |                         |                          |                       | as published with the latest Mozilla            |
|            |                         |                          |                       | Firefox Extended Support Release (ESR).         |
|            |                         |                          |                       | The updated CA list improves compatibility      |
|            |                         |                          |                       | with the certificates that are used in the      |
|            |                         |                          |                       | Internet Public Key Infrastructure (PKI).       |
|            |                         |                          |                       | To avoid certificate validation refusals,       |
|            |                         |                          |                       | Red Hat recommends installing the updated       |
|            |                         |                          |                       | CA list on June 12, 2017. (BZ#1448488)          |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:1364 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1467     | python-libs              | 2.6.6-66.el6_8        | Python is an interpreted, interactive,          |
|            |                         |                          |                       | object-oriented programming language, which     |
|            |                         |                          |                       | includes modules, classes, exceptions, very     |
|            |                         |                          |                       | high level dynamic data types and dynamic       |
