Vulnerability_ID     Package    Severity
CVE-2015-7181   nss   Critical
CVE-2015-7182   nss   Critical
CVE-2015-7183   nss   Critical
CVE-2015-5229   glibc-devel   Critical
CVE-2015-7547   glibc-devel   Critical
CVE-2016-1950   nss-util   Critical
CVE-2017-5461   nss   Critical
CVE-2015-8916   libarchive   High
CVE-2015-8917   libarchive   High
CVE-2015-8919   libarchive   High
CVE-2015-8920   libarchive   High
CVE-2015-8921   libarchive   High
CVE-2015-8922   libarchive   High
CVE-2015-8923   libarchive   High
CVE-2015-8924   libarchive   High
CVE-2015-8925   libarchive   High
CVE-2015-8926   libarchive   High
CVE-2015-8928   libarchive   High
CVE-2015-8930   libarchive   High
CVE-2015-8931   libarchive   High
CVE-2015-8932   libarchive   High
CVE-2015-8934   libarchive   High
CVE-2016-1541   libarchive   High
CVE-2016-4300   libarchive   High
CVE-2016-4302   libarchive   High
CVE-2016-4809   libarchive   High
CVE-2016-5418   libarchive   High
CVE-2016-5844   libarchive   High
CVE-2016-6250   libarchive   High
CVE-2016-7166   libarchive   High
CVE-2019-6974   kernel-headers   High
CVE-2019-7221   kernel-headers   High
CVE-2017-2583   kernel-headers   High
CVE-2017-6214   kernel-headers   High
CVE-2017-7477   kernel-headers   High
CVE-2017-7645   kernel-headers   High
CVE-2017-7895   kernel-headers   High
CVE-2017-1000251   kernel-headers   High
CVE-2010-5313   kernel-headers   High
CVE-2013-7421   kernel-headers   High
CVE-2014-3647   kernel-headers   High
CVE-2014-7842   kernel-headers   High
CVE-2014-8171   kernel-headers   High
CVE-2014-9419   kernel-headers   High
CVE-2014-9644   kernel-headers   High
CVE-2015-0239   kernel-headers   High
CVE-2015-2925   kernel-headers   High
CVE-2015-3288   kernel-headers   High
CVE-2015-3339   kernel-headers   High
CVE-2015-4170   kernel-headers   High
CVE-2015-5283   kernel-headers   High
CVE-2015-6526   kernel-headers   High
CVE-2015-7553   kernel-headers   High
CVE-2015-7613   kernel-headers   High
CVE-2015-7837   kernel-headers   High
CVE-2015-8215   kernel-headers   High
CVE-2016-0774   kernel-headers   High
CVE-2014-9585   kernel-headers   High
CVE-2015-0275   kernel-headers   High
CVE-2015-1333   kernel-headers   High
CVE-2015-3212   kernel-headers   High
CVE-2015-4700   kernel-headers   High
CVE-2015-5364   kernel-headers   High
CVE-2015-5366   kernel-headers   High
CVE-2016-6828   kernel-headers   High
CVE-2016-7117   kernel-headers   High
CVE-2016-9555   kernel-headers   High
CVE-2017-16939   kernel-headers   High
CVE-2018-1068   kernel-headers   High
CVE-2018-1087   kernel-headers   High
CVE-2018-1091   kernel-headers   High
CVE-2018-8897   kernel-headers   High
CVE-2018-1000199   kernel-headers   High
CVE-2018-3639   kernel-headers   High
CVE-2017-1000364   kernel-headers   High
CVE-2017-1000379   kernel-headers   High
CVE-2017-16994   kernel-headers   High
CVE-2017-17712   kernel-headers   High
CVE-2015-5157   kernel-headers   High
CVE-2015-7872   kernel-headers   High
CVE-2016-0758   kernel-headers   High
CVE-2016-3044   kernel-headers   High
CVE-2017-7518   kernel-headers   High
CVE-2017-12188   kernel-headers   High
CVE-2017-13215   kernel-headers   High
CVE-2018-3620   kernel-headers   High
CVE-2018-3646   kernel-headers   High
CVE-2018-3693   kernel-headers   High
CVE-2018-5390   kernel-headers   High
CVE-2018-7566   kernel-headers   High
CVE-2018-10675   kernel-headers   High
CVE-2016-8399   kernel-headers   High
CVE-2017-7184   kernel-headers   High
CVE-2017-7541   kernel-headers   High
CVE-2017-7542   kernel-headers   High
CVE-2017-7558   kernel-headers   High
CVE-2017-11176   kernel-headers   High
CVE-2017-14106   kernel-headers   High
CVE-2017-1000111   kernel-headers   High
CVE-2017-1000112   kernel-headers   High
CVE-2013-4312   kernel-headers   High
CVE-2015-8374   kernel-headers   High
CVE-2015-8543   kernel-headers   High
CVE-2015-8746   kernel-headers   High
