Vulnerability_ID     Package    Severity
CVE-2017-18202   kernel-headers   High
CVE-2018-18311   perl-libs   High
CVE-2019-5953   wget   High
CVE-2018-9568   kernel-headers   High
CVE-2018-17972   kernel-headers   High
CVE-2018-18445   kernel-headers   High
CVE-2017-1000405   kernel-headers   High
CVE-2019-1125   kernel-headers   High
CVE-2019-9500   kernel-headers   High
CVE-2018-7755   kernel-headers   High
CVE-2018-8087   kernel-headers   High
CVE-2018-9363   kernel-headers   High
CVE-2018-9516   kernel-headers   High
CVE-2018-9517   kernel-headers   High
CVE-2018-10853   kernel-headers   High
CVE-2018-13053   kernel-headers   High
CVE-2018-13093   kernel-headers   High
CVE-2018-13094   kernel-headers   High
CVE-2018-13095   kernel-headers   High
CVE-2018-14625   kernel-headers   High
CVE-2018-14734   kernel-headers   High
CVE-2018-15594   kernel-headers   High
CVE-2018-16658   kernel-headers   High
CVE-2018-16885   kernel-headers   High
CVE-2018-18281   kernel-headers   High
CVE-2019-3459   kernel-headers   High
CVE-2019-3460   kernel-headers   High
CVE-2019-3882   kernel-headers   High
CVE-2019-3900   kernel-headers   High
CVE-2019-5489   kernel-headers   High
CVE-2019-7222   kernel-headers   High
CVE-2019-9456   kernel-headers   High
CVE-2019-10140   kernel-headers   High
CVE-2019-11599   kernel-headers   High
CVE-2019-11810   kernel-headers   High
CVE-2019-11833   kernel-headers   High
CVE-2017-11600   kernel-headers   High
CVE-2018-3639   kernel-headers   High
CVE-2019-11477   kernel-headers   High
CVE-2019-11478   kernel-headers   High
CVE-2019-11479   kernel-headers   High
CVE-2017-11473   kernel-headers   High
CVE-2017-12190   kernel-headers   High
CVE-2017-12192   kernel-headers   High
CVE-2017-15129   kernel-headers   High
CVE-2017-15299   kernel-headers   High
CVE-2017-15306   kernel-headers   High
CVE-2017-16939   kernel-headers   High
CVE-2017-17448   kernel-headers   High
CVE-2017-17449   kernel-headers   High
CVE-2017-1000255   kernel-headers   High
CVE-2017-1000410   kernel-headers   High
CVE-2018-6927   kernel-headers   High
CVE-2018-1000004   kernel-headers   High
CVE-2018-14634   kernel-headers   High
CVE-2019-10160   python-libs   High
CVE-2016-3672   kernel-headers   High
CVE-2016-7913   kernel-headers   High
CVE-2016-8633   kernel-headers   High
CVE-2017-7294   kernel-headers   High
CVE-2017-8824   kernel-headers   High
CVE-2017-9725   kernel-headers   High
CVE-2017-12154   kernel-headers   High
CVE-2017-13166   kernel-headers   High
CVE-2017-13305   kernel-headers   High
CVE-2017-14140   kernel-headers   High
CVE-2017-15116   kernel-headers   High
CVE-2017-15121   kernel-headers   High
CVE-2017-15126   kernel-headers   High
CVE-2017-15127   kernel-headers   High
CVE-2017-15265   kernel-headers   High
CVE-2017-15274   kernel-headers   High
CVE-2017-17558   kernel-headers   High
CVE-2017-18017   kernel-headers   High
CVE-2017-18203   kernel-headers   High
CVE-2017-18270   kernel-headers   High
CVE-2017-1000252   kernel-headers   High
CVE-2017-1000407   kernel-headers   High
CVE-2018-5750   kernel-headers   High
CVE-2019-9636   python-libs   High
CVE-2019-12735   vim-minimal   High
CVE-2016-5195   kernel-headers   High
CVE-2016-7039   kernel-headers   High
CVE-2016-8666   kernel-headers   High
CVE-2017-13215   kernel-headers   High
CVE-2018-3620   kernel-headers   High
CVE-2018-3646   kernel-headers   High
CVE-2018-3693   kernel-headers   High
CVE-2018-5390   kernel-headers   High
CVE-2018-7566   kernel-headers   High
CVE-2018-10675   kernel-headers   High
CVE-2017-16994   kernel-headers   High
CVE-2017-17712   kernel-headers   High
CVE-2018-1068   kernel-headers   High
CVE-2018-1087   kernel-headers   High
CVE-2018-1091   kernel-headers   High
CVE-2018-8897   kernel-headers   High
CVE-2018-1000199   kernel-headers   High
CVE-2019-6974   kernel-headers   High
CVE-2019-7221   kernel-headers   High
CVE-2018-16871   kernel-headers   High
CVE-2018-16884   kernel-headers   High
CVE-2019-11085   kernel-headers   High
CVE-2019-11811   kernel-headers   High
CVE-2018-15688   systemd   High
CVE-2018-16864   systemd   High
