+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME                | PACKAGE VERSION        | CVE DESCRIPTION                                 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1587   | python                      | 2.7.5-58.el7           | Python is an interpreted, interactive,          |
|            |                       |                             |                        | object-oriented programming language, which     |
|            |                       |                             |                        | includes modules, classes, exceptions, very     |
|            |                       |                             |                        | high level dynamic data types and dynamic       |
|            |                       |                             |                        | typing. Python supports interfaces to many      |
|            |                       |                             |                        | system calls and libraries, as well as to       |
|            |                       |                             |                        | various windowing systems. Security Fix(es):    |
|            |                       |                             |                        | * python: regression of CVE-2019-9636 due       |
|            |                       |                             |                        | to functional fix to allow port numbers in      |
|            |                       |                             |                        | netloc (CVE-2019-10160) For more details        |
|            |                       |                             |                        | about the security issue(s), including the      |
|            |                       |                             |                        | impact, a CVSS score, acknowledgments, and      |
|            |                       |                             |                        | other related information, refer to the CVE     |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:1587 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1228   | wget                        | 1.14-15.el7_4.1        | The wget packages provide the GNU Wget          |
|            |                       |                             |                        | file retrieval utility for HTTP, HTTPS, and     |
|            |                       |                             |                        | FTP protocols. Security Fix(es): * wget:        |
|            |                       |                             |                        | do_conversion() heap-based buffer overflow      |
|            |                       |                             |                        | vulnerability (CVE-2019-5953) For more details  |
|            |                       |                             |                        | about the security issue(s), including the      |
|            |                       |                             |                        | impact, a CVSS score, acknowledgments, and      |
|            |                       |                             |                        | other related information, refer to the CVE     |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:1228 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0368   | systemd                     | 219-42.el7_4.7         | The systemd packages contain systemd, a system  |
|            |                       |                             |                        | and service manager for Linux, compatible with  |
|            |                       |                             |                        | the SysV and LSB init scripts. It provides      |
|            |                       |                             |                        | aggressive parallelism capabilities, uses       |
|            |                       |                             |                        | socket and D-Bus activation for starting        |
|            |                       |                             |                        | services, offers on-demand starting of daemons, |
|            |                       |                             |                        | and keeps track of processes using Linux        |
|            |                       |                             |                        | cgroups. In addition, it supports snapshotting  |
|            |                       |                             |                        | and restoring of the system state, maintains    |
|            |                       |                             |                        | mount and automount points, and implements      |
|            |                       |                             |                        | an elaborate transactional dependency-based     |
|            |                       |                             |                        | service control logic. It can also work as      |
|            |                       |                             |                        | a drop-in replacement for sysvinit. Security    |
|            |                       |                             |                        | Fix(es): * systemd: Insufficient input          |
|            |                       |                             |                        | validation in bus_process_object() resulting    |
|            |                       |                             |                        | in PID 1 crash (CVE-2019-6454) For more details |
|            |                       |                             |                        | about the security issue(s), including the      |
|            |                       |                             |                        | impact, a CVSS score, acknowledgments, and      |
|            |                       |                             |                        | other related information, refer to the CVE     |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0368 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0368   | systemd-libs                | 219-42.el7_4.7         | The systemd packages contain systemd, a system  |
|            |                       |                             |                        | and service manager for Linux, compatible with  |
|            |                       |                             |                        | the SysV and LSB init scripts. It provides      |
