Vulnerability,Package,Version
CVE-2004-0971,libgssapi-krb5-2,1.12.1+dfsg-19+deb8u4-
,libk5crypto3,1.12.1+dfsg-19+deb8u4-
,libkrb5-3,1.12.1+dfsg-19+deb8u4-
,libkrb5support0,1.12.1+dfsg-19+deb8u4-
CVE-2005-2541,tar,1.29b-1.1~nd80+1-
CVE-2006-4447,xterm,312-2-
CVE-2007-5686,login,1:4.2-3+deb8u4-
,passwd,1:4.2-3+deb8u4-
CVE-2007-6755,openssl,1.0.1t-1+deb8u8-
CVE-2008-4108,libpython-stdlib,2.7.9-1-
,python,2.7.9-1-
,python-minimal,2.7.9-1-
CVE-2009-3015,libqt4-dbus,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-designer,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-network,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-qt3support,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-script,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-sql,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-sql-mysql,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-svg,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-xml,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtcore4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtdbus4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtgui4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,qdbus,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,qtcore4-l10n,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
CVE-2009-3272,libqt4-dbus,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-designer,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-network,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-qt3support,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-script,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-sql,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-sql-mysql,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-svg,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqt4-xml,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtcore4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtdbus4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,libqtgui4,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,qdbus,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
,qtcore4-l10n,4:4.8.6+git64-g5dc8b2b+dfsg-3+deb8u1-
CVE-2009-5155,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2010-0928,openssl,1.0.1t-1+deb8u8-
CVE-2010-2596,libtiff5,4.0.3-12.3+deb8u5-
CVE-2010-4051,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2010-4052,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2010-4756,libc-bin,2.19-18+deb8u10-
,libc-dev-bin,2.19-18+deb8u10-
,libc6,2.19-18+deb8u10-
,libc6-dev,2.19-18+deb8u10-
,multiarch-support,2.19-18+deb8u10-
CVE-2011-3374,apt,1.0.9.8.4-
CVE-2011-3389,libgnutls-deb0-28,3.3.8-6+deb8u7-
,libgnutls-openssl27,3.3.8-6+deb8u7-
CVE-2011-4116,perl,5.20.2-3+deb8u11-
CVE-2012-0039,libglib2.0-0,2.42.1-1+b1-
,libglib2.0-data,2.42.1-1-
CVE-2012-5613,libmysqlclient18,5.5.60-0+deb8u1-
,mysql-common,5.5.60-0+deb8u1-
CVE-2012-5627,libmysqlclient18,5.5.60-0+deb8u1-
,mysql-common,5.5.60-0+deb8u1-
CVE-2013-0340,libexpat1,2.1.0-6+deb8u4-
CVE-2013-4235,login,1:4.2-3+deb8u4-
,passwd,1:4.2-3+deb8u4-
CVE-2013-4289,libopenjpeg5,1:1.5.2-3-
CVE-2013-4290,libopenjpeg5,1:1.5.2-3-
CVE-2013-4392,systemd,215-17+deb8u7-
CVE-2013-7040,python2.7,2.7.9-2+deb8u1-
CVE-2014-5256,nodejs,10.5.0-1nodesource1-
CVE-2014-8127,libtiff5,4.0.3-12.3+deb8u5-
CVE-2014-8130,libtiff5,4.0.3-12.3+deb8u5-
CVE-2014-8166,libcups2,1.7.5-11+deb8u2-
CVE-2014-8542,libavcodec56,6:11.12-1~deb8u1-
,libavformat56,6:11.12-1~deb8u1-
,libavresample2,6:11.12-1~deb8u1-
,libavutil54,6:11.12-1~deb8u1-
