CveID Packages PackageVer "CVSS (AC)" Summary
CVE-2011-5325 busybox-initramfs 1:1.21.0-1ubuntu1- LOW "Directory traversal vulnerability in the BusyBox implementation of tar before 1.22.0 v5 allows remote attackers to point to files outside the current working directory via a symlink."
CVE-2012-0039 libglib2.0-0 2.40.2-0ubuntu1.1- LOW "** DISPUTED ** GLib 2.31.8 and earlier, when the g_str_hash function is used, computes hash values without restricting the ability to trigger hash collisions predictably, which allows context-dependent attackers to cause a denial of service (CPU consumption) via crafted input to an application that maintains a hash table. NOTE: this issue may be disputed by the vendor; the existence of the g_str_hash function is not a vulnerability in the library, because callers of g_hash_table_new and g_hash_table_new_full can specify an arbitrary hash function that is appropriate for the application."
 libglib2.0-data 2.40.2-0ubuntu1.1- LOW "** DISPUTED ** GLib 2.31.8 and earlier, when the g_str_hash function is used, computes hash values without restricting the ability to trigger hash collisions predictably, which allows context-dependent attackers to cause a denial of service (CPU consumption) via crafted input to an application that maintains a hash table. NOTE: this issue may be disputed by the vendor; the existence of the g_str_hash function is not a vulnerability in the library, because callers of g_hash_table_new and g_hash_table_new_full can specify an arbitrary hash function that is appropriate for the application."
CVE-2012-1093 xorg 1:7.7+1ubuntu8.1- Unknown Unknown
CVE-2013-0157 util-linux 2.20.1-5.1ubuntu20.9- LOW "(a) mount and (b) umount in util-linux 2.14.1, 2.17.2, and probably other versions allow local users to determine the existence of restricted directories by (1) using the --guess-fstype command-line option or (2) attempting to mount a non-existent device, which generates different error messages depending on whether the directory exists."
CVE-2013-4235 login 1:4.1.5.1-1ubuntu9.2- Unknown Unknown
 passwd 1:4.1.5.1-1ubuntu9.2- Unknown Unknown
CVE-2014-2893 libllvm3.4 1:3.4-1ubuntu3- MEDIUM "The GetHTMLRunDir function in the scan-build utility in Clang 3.5 and earlier allows local users to obtain sensitive information or overwrite arbitrary files via a symlink attack on temporary directories with predictable names."
CVE-2014-5044 cpp-4.8 4.8.4-2ubuntu1~14.04.4- LOW "Multiple integer overflows in libgfortran might allow remote attackers to execute arbitrary code or cause a denial of service (Fortran application crash) via vectors related to array allocation."
 gcc-4.8-base 4.8.4-2ubuntu1~14.04.4- LOW "Multiple integer overflows in libgfortran might allow remote attackers to execute arbitrary code or cause a denial of service (Fortran application crash) via vectors related to array allocation."
 libgomp1 4.8.4-2ubuntu1~14.04.4- LOW "Multiple integer overflows in libgfortran might allow remote attackers to execute arbitrary code or cause a denial of service (Fortran application crash) via vectors related to array allocation."
 libstdc++6 4.8.4-2ubuntu1~14.04.4- LOW "Multiple integer overflows in libgfortran might allow remote attackers to execute arbitrary code or cause a denial of service (Fortran application crash) via vectors related to array allocation."
