CveID Packages PackageVer "CVSS (AC)" Summary
CVE-2011-5325 busybox-initramfs 1:1.21.0-1ubuntu1- LOW "Directory traversal vulnerability in the BusyBox implementation of tar before 1.22.0 v5 allows remote attackers to point to files outside the current working directory via a symlink."
CVE-2013-0157 util-linux 2.20.1-5.1ubuntu20.9- LOW "(a) mount and (b) umount in util-linux 2.14.1, 2.17.2, and probably other versions allow local users to determine the existence of restricted directories by (1) using the --guess-fstype command-line option or (2) attempting to mount a non-existent device, which generates different error messages depending on whether the directory exists."
CVE-2013-4235 login 1:4.1.5.1-1ubuntu9.5- Unknown Unknown
 passwd 1:4.1.5.1-1ubuntu9.5- Unknown Unknown
CVE-2014-5044 gcc-4.8 4.8.4-2ubuntu1~14.04.4- LOW "Multiple integer overflows in libgfortran might allow remote attackers to execute arbitrary code or cause a denial of service (Fortran application crash) via vectors related to array allocation."
CVE-2014-8625 dpkg 1.17.5ubuntu5.8- MEDIUM "Multiple format string vulnerabilities in the parse_error_msg function in parsehelp.c in dpkg before 1.17.22 allow remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via format string specifiers in the (1) package or (2) architecture name."
CVE-2014-9114 util-linux 2.20.1-5.1ubuntu20.9- LOW "Blkid in util-linux before 2.26rc-1 allows local users to execute arbitrary code."
CVE-2014-9474 libmpfr4 3.1.2-1- LOW "Buffer overflow in the mpfr_strtofr function in GNU MPFR before 3.1.2-p11 allows context-dependent attackers to have unspecified impact via vectors related to incorrect documentation for mpn_set_str."
CVE-2014-9645 busybox-initramfs 1:1.21.0-1ubuntu1- LOW "The add_probe function in modutils/modprobe.c in BusyBox before 1.23.0 allows local users to bypass intended restrictions on loading kernel modules via a / (slash) character in a module name, as demonstrated by an ""ifconfig /usbserial up"" command or a ""mount -t /snd_pcm none /"" command."
CVE-2014-9761 libc-bin 2.19-0ubuntu6.14- LOW "Multiple stack-based buffer overflows in the GNU C Library (aka glibc or libc6) before 2.23 allow context-dependent attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a long argument to the (1) nan, (2) nanf, or (3) nanl function."
 libc-dev-bin 2.19-0ubuntu6.14- LOW "Multiple stack-based buffer overflows in the GNU C Library (aka glibc or libc6) before 2.23 allow context-dependent attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a long argument to the (1) nan, (2) nanf, or (3) nanl function."
 libc6 2.19-0ubuntu6.14- LOW "Multiple stack-based buffer overflows in the GNU C Library (aka glibc or libc6) before 2.23 allow context-dependent attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a long argument to the (1) nan, (2) nanf, or (3) nanl function."
 libc6-dev 2.19-0ubuntu6.14- LOW "Multiple stack-based buffer overflows in the GNU C Library (aka glibc or libc6) before 2.23 allow context-dependent attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a long argument to the (1) nan, (2) nanf, or (3) nanl function."
 multiarch-support 2.19-0ubuntu6.14- LOW "Multiple stack-based buffer overflows in the GNU C Library (aka glibc or libc6) before 2.23 allow context-dependent attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a long argument to the (1) nan, (2) nanf, or (3) nanl function."
