labels,names,A,C,V,Stools
a,bids/example:latest,838,663,683,
b,bids/freesurfer:latest,353,215,192,
c,bids/ndmg:latest,934,757,782,
d,bids/broccoli:v1.0.0,203,203,117,
e,bids/fibredensityandcrosssection:latest,1086,849,868,
f,bids/spm:latest,191,246,235,
g,poldracklab/mriqc:0.15.0,432,328,332,
h,bids/cpac:v1.0.1a\_22,698,524,535,
I,bids/hyperalignment:latest,1717,1327,1433,
j,bids/mindboggle:0.0.4-1,671,955,569,
k,bids/mrtrix3\_connectome:latest,275,157,158,
l,bids/rs\_signal\_extract:0.1,867,454,473,
m,bids/aa:v0.2.0,189,244,233,
n,bids/niak:latest,1482,1366,1420,
o,bids/oppni:v0.7.0-1,913,698,723,
p,poldracklab/fmriprep:unstable,516,355,393,
q,bids/brainiak-srm:latest,897,484,503,
r,bids/nipypelines:0.3.0,641,878,451,
s,bids/hcppipelines:v3.17.0-18,526,873,620,
t,bids/magetbrain:latest,112,117,126,
u,bids/tracula:v6.0.0-4,874,664,683,
v,bids/baracus:latest,172,238,216,
w,bids/antscorticalthickness:v2.2.0-1,289,27,no data,
x,bids/dparsf:v4.3.12,507,750,757,
y,bids/afni\_proc:latest,67,16,no data,
z,bids/rshrf:1.0.1,5,3,3,
aa,bids/ndmg:v0.1.0,934,758,782,
ab,mcin/qeeg:latest,121,121,142,
ac,camarasu/creaphase:0.3,148,148,186,
ad,bigdatalabteam/hcp-prefreesurfer:exec-centos7.freesurferbuild-centos4-latest:latest,257,266,157,
ae,mcin/docker-fsl:latest,178,178,201,
af,gkiar/onevoxel:v0.3.0rc2,5,2,2,
ag,bigdatalabteam/hcp-prefreesurfer:exec-centos7-fslbuild-centos5-latest:latest,257,266,157,
ah,bt5e/ants:latest,592,600,336,
ai,poldracklab/fmriprep:1.2.3,591,441,447,
aj,gkiar/dwipreproc\_fsl-5.0.11\_minified:latest,391,258,263,
ak,gkiar/mask2boundary:v0.1.0,15,11,11,
al,mcin/ica-aroma:latest,178,178,202,
am,c3genomics/genpipes,,,,99
an,bioinformatics-group/aqua-singularity-recipe,,,,7
ao,MontrealSergiy/BEst,,,,106
ap,shub://aces/cbrain-containers-recipes:fsl\_v6.0.1,,,,206
aq,shots47s/bids-freesurfer-6.0,,,,212
ar,shots47s/bids-fmriprep-1.2.3,,,,453
